UF;Ano;Especie;Grupo;Uso;Quantidade;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Corrigido_IPCA
Bahia;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;167317;105530.154006;630.717204
Mato Grosso do Sul;2018;Pinus;1.1 - Carvão vegetal;Madeira para combustível;6284;3910.133586;622.2388619999999
Mato Grosso do Sul;1994;Eucalipto;2 - Outros produtos; Não especificado;5430;3375.640836;621.661032
Bahia;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;161606;98604.735384;610.156962
Mato Grosso do Sul;2016;Pinus;1.1 - Carvão vegetal;Madeira para combustível;9500;5641.890096;593.883168
Rio Grande do Sul;1997;Eucalipto;2 - Outros produtos; Não especificado;17;9.896652;582.221508
Maranhão;2013;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;449974;261345.743136;580.8031980000001
Minas Gerais;2001;Eucalipto;2 - Outros produtos; Não especificado;19827;11278.001892;568.815852
Rio Grande do Sul;2002;Eucalipto;2 - Outros produtos; Não especificado;13;7.280658;559.822716
Rio Grande do Sul;1998;Eucalipto;2 - Outros produtos; Não especificado;18;9.697038000000001;538.821222
Tocantins;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3600;1936.697052;537.9702359999999
Maranhão;2014;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;535086;285554.89753799996;533.662776
Rio Grande do Sul;1999;Eucalipto;2 - Outros produtos; Não especificado;17;9.024654;530.731602
Minas Gerais;1996;Eucalipto;2 - Outros produtos; Não especificado;95720;49929.933096;521.6229
Minas Gerais;1997;Eucalipto;2 - Outros produtos; Não especificado;100595;52077.054822;517.693656
Maranhão;2015;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;530280;273626.805378;516.0021899999999
Minas Gerais;1998;Eucalipto;2 - Outros produtos; Não especificado;102426;51941.947662;507.114114
Minas Gerais;1994;Eucalipto;2 - Outros produtos; Não especificado;15085;7629.66732;505.779852
Tocantins;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4000;2018.023998;504.508626
Rio Grande do Sul;2000;Eucalipto;2 - Outros produtos; Não especificado;17;8.45733;497.637702
Minas Gerais;1999;Eucalipto;2 - Outros produtos; Não especificado;99987;49443.116574;494.496408
Maranhão;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;574584;272284.968552;473.88363599999997
Goiás;2023;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;81155;37866.775799999996;466.602978
Minas Gerais;2000;Eucalipto;2 - Outros produtos; Não especificado;100989;44773.703861999995;443.3532
Goiás;2021;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;130000;56396.481156;433.824258
Rio Grande do Sul;2003;Eucalipto;2 - Outros produtos; Não especificado;15;6.3876479999999995;425.65058999999997
Goiás;2022;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;105375;44327.829222;420.670746
Rondônia;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;8069;3318.5722439999995;411.278382
Rondônia;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14130;5678.535024;401.87551199999996
Rio Grande do Sul;2004;Eucalipto;2 - Outros produtos; Não especificado;15;5.977914;398.31397799999996
Rondônia;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;12751;5042.51229;395.456346
Rondônia;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;533;197.470776;370.48358399999995
Tocantins;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3104;1049.5493999999999;338.12510399999996
